"filename", "language", "TypeScript", "CSS", "Markdown", "JSON with Comments", "JavaScript", "JSON", "XML", "SQLite", "TypeScript JSX", "YAML", "comment", "blank", "total"
"d:\College\Sem3\Db\GroupProject\rms\app\financials\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 156, 0, 4, 13, 173
"d:\College\Sem3\Db\GroupProject\rms\app\financials\revenue\new\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 3, 7, 50
"d:\College\Sem3\Db\GroupProject\rms\app\financials\sales\new\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 1, 5, 31
"d:\College\Sem3\Db\GroupProject\rms\app\globals.css", "CSS", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 95
"d:\College\Sem3\Db\GroupProject\rms\app\ingredients\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 2, 4, 17
"d:\College\Sem3\Db\GroupProject\rms\app\inventory\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 3, 23
"d:\College\Sem3\Db\GroupProject\rms\app\inventory\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 9, 6, 69
"d:\College\Sem3\Db\GroupProject\rms\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 5, 47
"d:\College\Sem3\Db\GroupProject\rms\app\menus\[menuId]\edit\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 1, 9, 53
"d:\College\Sem3\Db\GroupProject\rms\app\menus\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 3, 23
"d:\College\Sem3\Db\GroupProject\rms\app\menus\new\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 3, 18
